Web Search interest: dennis sullivan
Worldwide; 2004 - present

Interest over time
Month,dennis sullivan
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,100
2005-10,93
2005-11,93
2005-12,74
2006-01,74
2006-02,74
2006-03,74
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,58
2006-12,58
2007-01,59
2007-02,52
2007-03,52
2007-04,50
2007-05,57
2007-06,47
2007-07,47
2007-08,40
2007-09,40
2007-10,37
2007-11,37
2007-12,48
2008-01,33
2008-02,55
2008-03,39
2008-04,49
2008-05,47
2008-06,36
2008-07,31
2008-08,40
2008-09,33
2008-10,34
2008-11,34
2008-12,30
2009-01,32
2009-02,32
2009-03,33
2009-04,28
2009-05,25
2009-06,30
2009-07,34
2009-08,33
2009-09,26
2009-10,22
2009-11,31
2009-12,27
2010-01,31
2010-02,30
2010-03,33
2010-04,28
2010-05,23
2010-06,26
2010-07,21
2010-08,26
2010-09,23
2010-10,25
2010-11,24
2010-12,24
2011-01,21
2011-02,23
2011-03,20
2011-04,26
2011-05,31
2011-06,26
2011-07,22
2011-08,27
2011-09,19
2011-10,21
2011-11,21
2011-12,20
2012-01,20
2012-02,20
2012-03,24
2012-04,18
2012-05,23
2012-06,21
2012-07,30
2012-08,24
2012-09,23
2012-10,21
2012-11,18
2012-12,18
2013-01,25
2013-02,24
2013-03,24
2013-04,20
2013-05,21
2013-06,21
2013-07,19
2013-08,21
2013-09,17
2013-10,18
2013-11,14
2013-12,14
2014-01,20
2014-02,23
2014-03,16
2014-04,19
2014-05,19
2014-06,22
2014-07,17
2014-08,25
2014-09,16
2014-10,17
2014-11,15
2014-12,15
2015-01,18
2015-02,15
2015-03,19
2015-04,15
2015-05,14
2015-06,24
2015-07,18
2015-08,16
2015-09,16


Top regions for dennis sullivan
Region,dennis sullivan
United States,100


Top cities for dennis sullivan
City,dennis sullivan
New York (United States),100









