Web Search interest: harald zur hausen
Worldwide; 2004 - present

Interest over time
Month,harald zur hausen
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,100
2008-11,17
2008-12,19
2009-01,12
2009-02,9
2009-03,8
2009-04,10
2009-05,9
2009-06,8
2009-07,8
2009-08,8
2009-09,8
2009-10,8
2009-11,8
2009-12,7
2010-01,7
2010-02,7
2010-03,7
2010-04,6
2010-05,6
2010-06,7
2010-07,7
2010-08,8
2010-09,8
2010-10,8
2010-11,5
2010-12,5
2011-01,5
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,4
2011-09,4
2011-10,5
2011-11,6
2011-12,4
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,4
2012-06,4
2012-07,4
2012-08,3
2012-09,3
2012-10,3
2012-11,5
2012-12,3
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,3
2014-01,3
2014-02,3
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,3
2015-09,3









