Web Search interest: james rothman
Worldwide; 2004 - present

Interest over time
Month,james rothman
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,9
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,9
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,4
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,4
2013-07,28
2013-08,52
2013-09,76
2013-10,100
2013-11,11
2013-12,11
2014-01,5
2014-02,6
2014-03,5
2014-04,4
2014-05,6
2014-06,4
2014-07,3
2014-08,4
2014-09,4
2014-10,5
2014-11,4
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,0


Top regions for james rothman
Region,james rothman
United States,100





Top searches for james rothman
james rothman nobel,100
james e. rothman,95
randy schekman,80
james e rothman,55



Rising searches for james rothman
james e rothman,Breakout
james e. rothman,Breakout
james rothman nobel,Breakout
randy schekman,Breakout



