Web Search interest: patrick modiano
Worldwide; 2004 - present

Interest over time
Month,patrick modiano
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,4
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,4
2005-12,3
2006-01,3
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,3
2006-11,3
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,4
2007-11,5
2007-12,3
2008-01,3
2008-02,2
2008-03,2
2008-04,2
2008-05,2
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,2
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,2
2009-12,1
2010-01,1
2010-02,1
2010-03,3
2010-04,2
2010-05,1
2010-06,2
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,2
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,0
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,0
2014-08,0
2014-09,1
2014-10,100
2014-11,15
2014-12,20
2015-01,11
2015-02,8
2015-03,6
2015-04,5
2015-05,4
2015-06,4
2015-07,3
2015-08,4
2015-09,3


Top regions for patrick modiano
Region,patrick modiano
Sweden,100
France,98
Spain,37
Germany,28
Italy,28
United States,6


Top cities for patrick modiano
City,patrick modiano
Paris (France),100
Stockholm (Sweden),96
Lyon (France),62
Barcelona (Spain),33
Berlin (Germany),30
Madrid (Spain),20
Milan (Italy),20
Buenos Aires (Argentina),20
New York (United States),12
London (United Kingdom),9



Top searches for patrick modiano
patrick modiano nobel,100
modiano nobel,100
nobel 2014,40
dora bruder,25
patrick modiano pdf,20
patrick modiano amazon,15
biographie patrick modiano,15
livre patrick modiano,10
patrick modiano books,10
nobel literatura 2014,10
patrick modiano livres,10
prix nobel littérature,10
patrick modiano libros,10
nobel literature 2014,10
une jeunesse,10
patrick modiano wikipedia,10
un pedigree,5



Rising searches for patrick modiano
biographie patrick modiano,Breakout
dora bruder,Breakout
modiano nobel,Breakout
nobel 2014,Breakout
patrick modiano amazon,Breakout
patrick modiano nobel,Breakout
patrick modiano pdf,Breakout



