Web Search interest: Pierre Deligne
Worldwide; 2004 - present

Interest over time
Month,Pierre Deligne
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,96
2005-11,77
2005-12,77
2006-01,77
2006-02,63
2006-03,63
2006-04,67
2006-05,85
2006-06,60
2006-07,60
2006-08,51
2006-09,63
2006-10,78
2006-11,48
2006-12,53
2007-01,53
2007-02,62
2007-03,58
2007-04,49
2007-05,56
2007-06,43
2007-07,36
2007-08,37
2007-09,40
2007-10,35
2007-11,36
2007-12,31
2008-01,32
2008-02,38
2008-03,39
2008-04,47
2008-05,38
2008-06,29
2008-07,32
2008-08,32
2008-09,36
2008-10,37
2008-11,37
2008-12,28
2009-01,26
2009-02,34
2009-03,36
2009-04,28
2009-05,23
2009-06,24
2009-07,21
2009-08,22
2009-09,26
2009-10,31
2009-11,31
2009-12,28
2010-01,31
2010-02,30
2010-03,36
2010-04,32
2010-05,28
2010-06,25
2010-07,21
2010-08,18
2010-09,24
2010-10,29
2010-11,27
2010-12,24
2011-01,27
2011-02,29
2011-03,29
2011-04,24
2011-05,27
2011-06,24
2011-07,21
2011-08,18
2011-09,20
2011-10,22
2011-11,24
2011-12,24
2012-01,23
2012-02,24
2012-03,26
2012-04,21
2012-05,25
2012-06,22
2012-07,19
2012-08,16
2012-09,23
2012-10,19
2012-11,23
2012-12,17
2013-01,20
2013-02,23
2013-03,58
2013-04,37
2013-05,34
2013-06,22
2013-07,20
2013-08,17
2013-09,21
2013-10,25
2013-11,20
2013-12,18
2014-01,20
2014-02,22
2014-03,27
2014-04,22
2014-05,22
2014-06,18
2014-07,17
2014-08,15
2014-09,21
2014-10,22
2014-11,32
2014-12,22
2015-01,24
2015-02,24
2015-03,23
2015-04,20
2015-05,22
2015-06,18
2015-07,14
2015-08,17
2015-09,21


Top regions for Pierre Deligne
Region,Pierre Deligne
France,100
United States,7


Top cities for Pierre Deligne
City,Pierre Deligne
Santo Domingo (Dominican Republic),100
Brussels (Belgium),21
Paris (France),18



Top searches for Pierre Deligne
deligne,100
deligne pierre,15
gaston deligne,10
rafael deligne,5



Rising searches for Pierre Deligne
deligne pierre,Breakout
gaston deligne,Breakout
rafael deligne,Breakout



