Web Search interest: David Mumford
Worldwide; 2004 - present

Interest over time
Month,David Mumford
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,100
2008-06,61
2008-07,52
2008-08,52
2008-09,52
2008-10,52
2008-11,52
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,35
2010-09,34
2010-10,34
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,30
2011-09,26
2011-10,21
2011-11,21
2011-12,21
2012-01,21
2012-02,21
2012-03,21
2012-04,21
2012-05,21
2012-06,21
2012-07,21
2012-08,21
2012-09,21
2012-10,21
2012-11,21
2012-12,17
2013-01,17
2013-02,22
2013-03,18
2013-04,18
2013-05,18
2013-06,18
2013-07,18
2013-08,17
2013-09,17
2013-10,17
2013-11,15
2013-12,14
2014-01,14
2014-02,19
2014-03,17
2014-04,17
2014-05,17
2014-06,17
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,19
2015-01,14
2015-02,14
2015-03,15
2015-04,17
2015-05,17
2015-06,18
2015-07,0
2015-08,0
2015-09,0



Top searches for David Mumford
mumford david,100






