Web Search interest: Barry Marshall
Worldwide; 2004 - present

Interest over time
Month,Barry Marshall
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,100
2005-11,25
2005-12,21
2006-01,22
2006-02,23
2006-03,21
2006-04,15
2006-05,15
2006-06,15
2006-07,15
2006-08,16
2006-09,20
2006-10,15
2006-11,14
2006-12,17
2007-01,12
2007-02,17
2007-03,12
2007-04,11
2007-05,11
2007-06,13
2007-07,9
2007-08,11
2007-09,9
2007-10,11
2007-11,9
2007-12,8
2008-01,7
2008-02,11
2008-03,11
2008-04,9
2008-05,8
2008-06,8
2008-07,6
2008-08,7
2008-09,7
2008-10,8
2008-11,6
2008-12,5
2009-01,6
2009-02,9
2009-03,11
2009-04,7
2009-05,7
2009-06,5
2009-07,5
2009-08,6
2009-09,10
2009-10,9
2009-11,6
2009-12,6
2010-01,6
2010-02,9
2010-03,10
2010-04,6
2010-05,6
2010-06,5
2010-07,6
2010-08,5
2010-09,8
2010-10,5
2010-11,8
2010-12,4
2011-01,3
2011-02,7
2011-03,8
2011-04,5
2011-05,5
2011-06,7
2011-07,5
2011-08,5
2011-09,6
2011-10,5
2011-11,5
2011-12,8
2012-01,6
2012-02,8
2012-03,8
2012-04,7
2012-05,6
2012-06,5
2012-07,5
2012-08,6
2012-09,5
2012-10,6
2012-11,3
2012-12,5
2013-01,3
2013-02,7
2013-03,7
2013-04,6
2013-05,4
2013-06,4
2013-07,4
2013-08,4
2013-09,5
2013-10,6
2013-11,4
2013-12,4
2014-01,5
2014-02,5
2014-03,7
2014-04,5
2014-05,5
2014-06,4
2014-07,3
2014-08,4
2014-09,5
2014-10,4
2014-11,5
2014-12,4
2015-01,3
2015-02,6
2015-03,5
2015-04,4
2015-05,4
2015-06,4
2015-07,4
2015-08,5
2015-09,5


Top regions for Barry Marshall
Region,Barry Marshall
Australia,100
United States,9


Top cities for Barry Marshall
City,Barry Marshall
Perth (Australia),100
Sydney (Australia),40
London (United Kingdom),7



Top searches for Barry Marshall
barry marshall,100
robin warren,15
barry marshall nobel,10
barry marshall helicobacter,10
barry marshal,5
dr barry marshall,5
barry j. marshall,5
barry marshall ulcers,5
barry j marshall,5



Rising searches for Barry Marshall
barry j marshall,Breakout
barry j. marshall,Breakout
barry marshal,Breakout
barry marshall helicobacter,Breakout
barry marshall nobel,Breakout
barry marshall ulcers,Breakout
dr barry marshall,Breakout
robin warren,Breakout



