Web Search interest: Peter Diamond
Worldwide; 2004 - present

Interest over time
Month,Peter Diamond
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,6
2010-04,8
2010-05,6
2010-06,6
2010-07,6
2010-08,6
2010-09,4
2010-10,100
2010-11,14
2010-12,14
2011-01,7
2011-02,6
2011-03,8
2011-04,4
2011-05,8
2011-06,28
2011-07,4
2011-08,6
2011-09,6
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,3
2012-03,4
2012-04,5
2012-05,3
2012-06,4
2012-07,3
2012-08,3
2012-09,3
2012-10,4
2012-11,4
2012-12,3
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,3
2013-10,4
2013-11,4
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,3
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,2
2015-01,2
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2


Top regions for Peter Diamond
Region,Peter Diamond
United States,100


Top cities for Peter Diamond
City,Peter Diamond
New York (United States),100



Top searches for Peter Diamond
peter diamond,100
peter diamond nobel,10
peter a. diamond,10
peter a diamond,5
peter diamond economics,5



Rising searches for Peter Diamond
peter a diamond,Breakout
peter a. diamond,Breakout
peter diamond economics,Breakout
peter diamond nobel,Breakout



