Web Search interest: Gerhard Ertl
Worldwide; 2004 - present

Interest over time
Month,Gerhard Ertl
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,100
2007-11,11
2007-12,17
2008-01,7
2008-02,5
2008-03,5
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,5
2008-10,5
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,3
2010-11,3
2010-12,3
2011-01,3
2011-02,2
2011-03,2
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,3
2011-11,2
2011-12,2
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,1
2013-04,2
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,2
2015-09,2


Top regions for Gerhard Ertl
Region,Gerhard Ertl
Germany,100





Top searches for Gerhard Ertl
ertl,100
ertl gerhard,95



Rising searches for Gerhard Ertl
ertl,Breakout
ertl gerhard,Breakout
igs gerhard ertl,Breakout



