Web Search interest: Roger Y. Tsien
Worldwide; 2004 - present

Interest over time
Month,Roger Y. Tsien
2004-01,0
2004-02,33
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,25
2004-11,25
2004-12,25
2005-01,22
2005-02,22
2005-03,25
2005-04,20
2005-05,20
2005-06,22
2005-07,20
2005-08,20
2005-09,19
2005-10,21
2005-11,21
2005-12,17
2006-01,14
2006-02,18
2006-03,17
2006-04,15
2006-05,16
2006-06,16
2006-07,13
2006-08,14
2006-09,14
2006-10,12
2006-11,12
2006-12,13
2007-01,11
2007-02,9
2007-03,10
2007-04,9
2007-05,11
2007-06,14
2007-07,10
2007-08,10
2007-09,11
2007-10,11
2007-11,10
2007-12,10
2008-01,10
2008-02,8
2008-03,8
2008-04,11
2008-05,8
2008-06,8
2008-07,8
2008-08,8
2008-09,9
2008-10,100
2008-11,20
2008-12,17
2009-01,11
2009-02,13
2009-03,14
2009-04,10
2009-05,12
2009-06,10
2009-07,9
2009-08,8
2009-09,10
2009-10,10
2009-11,14
2009-12,9
2010-01,9
2010-02,8
2010-03,10
2010-04,9
2010-05,8
2010-06,7
2010-07,7
2010-08,6
2010-09,7
2010-10,8
2010-11,8
2010-12,5
2011-01,6
2011-02,7
2011-03,7
2011-04,6
2011-05,6
2011-06,6
2011-07,6
2011-08,5
2011-09,7
2011-10,6
2011-11,7
2011-12,5
2012-01,6
2012-02,7
2012-03,6
2012-04,5
2012-05,5
2012-06,4
2012-07,5
2012-08,5
2012-09,4
2012-10,5
2012-11,4
2012-12,3
2013-01,4
2013-02,4
2013-03,5
2013-04,5
2013-05,4
2013-06,4
2013-07,4
2013-08,4
2013-09,3
2013-10,5
2013-11,4
2013-12,4
2014-01,4
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,3
2014-07,4
2014-08,3
2014-09,3
2014-10,4
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,5
2015-05,3
2015-06,2
2015-07,2
2015-08,3
2015-09,3


Top regions for Roger Y. Tsien
Region,Roger Y. Tsien
United States,100


Top cities for Roger Y. Tsien
City,Roger Y. Tsien
San Diego (United States),100
Singapore (Singapore),39
New York (United States),21



Top searches for Roger Y. Tsien
tsien,100
tsien tsien,100
tsien roger,45
tsien lab,10
tsien nobel,10
roger y. tsien,5
roger tsien nobel,5
tsien gfp,5
roger tsien lab,5
roger tsien ucsd,5



Rising searches for Roger Y. Tsien
roger tsien lab,Breakout
roger tsien nobel,Breakout
roger tsien ucsd,Breakout
roger y. tsien,Breakout
tsien gfp,Breakout
tsien lab,Breakout
tsien nobel,Breakout
tsien roger,+70%



