Web Search interest: Jack W. Szostak
Worldwide; 2004 - present

Interest over time
Month,Jack W. Szostak
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,9
2008-02,10
2008-03,10
2008-04,9
2008-05,9
2008-06,10
2008-07,10
2008-08,11
2008-09,11
2008-10,8
2008-11,8
2008-12,9
2009-01,9
2009-02,7
2009-03,7
2009-04,7
2009-05,8
2009-06,6
2009-07,6
2009-08,6
2009-09,6
2009-10,100
2009-11,15
2009-12,13
2010-01,9
2010-02,7
2010-03,8
2010-04,8
2010-05,10
2010-06,6
2010-07,6
2010-08,8
2010-09,7
2010-10,10
2010-11,8
2010-12,7
2011-01,8
2011-02,7
2011-03,6
2011-04,8
2011-05,6
2011-06,6
2011-07,7
2011-08,6
2011-09,6
2011-10,9
2011-11,6
2011-12,7
2012-01,7
2012-02,6
2012-03,6
2012-04,10
2012-05,7
2012-06,11
2012-07,7
2012-08,6
2012-09,6
2012-10,7
2012-11,8
2012-12,11
2013-01,10
2013-02,9
2013-03,12
2013-04,8
2013-05,8
2013-06,6
2013-07,6
2013-08,6
2013-09,6
2013-10,5
2013-11,5
2013-12,6
2014-01,7
2014-02,8
2014-03,13
2014-04,8
2014-05,5
2014-06,8
2014-07,5
2014-08,7
2014-09,9
2014-10,5
2014-11,7
2014-12,6
2015-01,6
2015-02,7
2015-03,10
2015-04,6
2015-05,7
2015-06,7
2015-07,5
2015-08,6
2015-09,7


Top regions for Jack W. Szostak
Region,Jack W. Szostak
Poland,100
United States,6


Top cities for Jack W. Szostak
City,Jack W. Szostak
Wroclaw (Poland),100
Warsaw (Poland),68
Krakow (Poland),65



Top searches for Jack W. Szostak
szostak,100
jack szostak,30
jack w. szostak,10
szóstak,5
jack szostak nobel,5
szostak lab,5
carol greider,5
elizabeth blackburn,5



Rising searches for Jack W. Szostak
carol greider,Breakout
elizabeth blackburn,Breakout
jack szostak,Breakout
jack szostak nobel,Breakout
jack w. szostak,Breakout
szostak lab,Breakout
szóstak,Breakout



