Web Search interest: Ei-ichi Negishi
Worldwide; 2004 - present

Interest over time
Month,Ei-ichi Negishi
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,100
2010-11,14
2010-12,18
2011-01,12
2011-02,9
2011-03,8
2011-04,10
2011-05,8
2011-06,9
2011-07,9
2011-08,10
2011-09,7
2011-10,7
2011-11,8
2011-12,7
2012-01,8
2012-02,7
2012-03,6
2012-04,8
2012-05,7
2012-06,6
2012-07,6
2012-08,6
2012-09,7
2012-10,5
2012-11,6
2012-12,7
2013-01,7
2013-02,6
2013-03,6
2013-04,7
2013-05,6
2013-06,7
2013-07,5
2013-08,6
2013-09,6
2013-10,6
2013-11,7
2013-12,7
2014-01,5
2014-02,6
2014-03,6
2014-04,6
2014-05,5
2014-06,5
2014-07,6
2014-08,5
2014-09,6
2014-10,6
2014-11,5
2014-12,7
2015-01,5
2015-02,6
2015-03,6
2015-04,5
2015-05,5
2015-06,4
2015-07,4
2015-08,5
2015-09,6


Top regions for Ei-ichi Negishi
Region,Ei-ichi Negishi
Switzerland,100


Top cities for Ei-ichi Negishi
City,Ei-ichi Negishi
Zurich (Switzerland),100



Top searches for Ei-ichi Negishi
negishi,100
ei-ichi negishi,20



Rising searches for Ei-ichi Negishi
ei-ichi negishi,Breakout
negishi,Breakout



