Web Search interest: Alvin E. Roth
Worldwide; 2004 - present

Interest over time
Month,Alvin E. Roth
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,4
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,2
2012-05,3
2012-06,23
2012-07,42
2012-08,61
2012-09,81
2012-10,100
2012-11,10
2012-12,10
2013-01,5
2013-02,6
2013-03,4
2013-04,5
2013-05,3
2013-06,3
2013-07,3
2013-08,2
2013-09,3
2013-10,5
2013-11,3
2013-12,3
2014-01,2
2014-02,2
2014-03,3
2014-04,3
2014-05,3
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,7
2015-07,4
2015-08,4
2015-09,3


Top regions for Alvin E. Roth
Region,Alvin E. Roth
United States,100





Top searches for Alvin E. Roth
alvin roth,100
al roth,45
lloyd shapley,20
alvin roth nobel,20
alvin e. roth,20
alvin e roth,10



Rising searches for Alvin E. Roth
al roth,Breakout
alvin e roth,Breakout
alvin e. roth,Breakout
alvin roth,Breakout
alvin roth nobel,Breakout
lloyd shapley,Breakout



