Web Search interest: Françoise Barré-Sinoussi
Worldwide; 2004 - present

Interest over time
Month,Françoise Barré-Sinoussi
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,100
2008-11,16
2008-12,24
2009-01,11
2009-02,13
2009-03,10
2009-04,10
2009-05,10
2009-06,10
2009-07,10
2009-08,10
2009-09,10
2009-10,10
2009-11,11
2009-12,7
2010-01,7
2010-02,7
2010-03,7
2010-04,7
2010-05,8
2010-06,7
2010-07,7
2010-08,7
2010-09,7
2010-10,7
2010-11,7
2010-12,6
2011-01,6
2011-02,6
2011-03,6
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,5
2011-11,5
2011-12,5
2012-01,5
2012-02,4
2012-03,4
2012-04,5
2012-05,6
2012-06,7
2012-07,9
2012-08,4
2012-09,6
2012-10,5
2012-11,5
2012-12,5
2013-01,5
2013-02,5
2013-03,4
2013-04,14
2013-05,6
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,4
2013-12,3
2014-01,3
2014-02,5
2014-03,4
2014-04,3
2014-05,4
2014-06,3
2014-07,13
2014-08,5
2014-09,5
2014-10,4
2014-11,4
2014-12,3
2015-01,3
2015-02,5
2015-03,3
2015-04,3
2015-05,4
2015-06,3
2015-07,9
2015-08,4
2015-09,3




Top cities for Françoise Barré-Sinoussi
City,Françoise Barré-Sinoussi
Paris (France),100



Top searches for Françoise Barré-Sinoussi
barré-sinoussi,100
françoise barré-sinoussi,80
barre sinoussi,55
barre-sinoussi,50
francoise barre,45
francoise barre sinoussi,35
francoise barre-sinoussi,30
barré sinoussi,30
luc montagnier,30



Rising searches for Françoise Barré-Sinoussi
barre sinoussi,Breakout
barre-sinoussi,Breakout
barré sinoussi,Breakout
barré-sinoussi,Breakout
francoise barre,Breakout
francoise barre sinoussi,Breakout
francoise barre-sinoussi,Breakout
françoise barré-sinoussi,Breakout
luc montagnier,Breakout



