Web Search interest: Thomas A. Steitz
Worldwide; 2004 - present

Interest over time
Month,Thomas A. Steitz
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,32
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,26
2007-09,16
2007-10,16
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,14
2008-05,14
2008-06,14
2008-07,14
2008-08,14
2008-09,14
2008-10,12
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,11
2009-07,33
2009-08,55
2009-09,78
2009-10,100
2009-11,14
2009-12,14
2010-01,12
2010-02,11
2010-03,11
2010-04,9
2010-05,9
2010-06,8
2010-07,8
2010-08,8
2010-09,8
2010-10,12
2010-11,6
2010-12,6
2011-01,6
2011-02,9
2011-03,7
2011-04,7
2011-05,6
2011-06,9
2011-07,9
2011-08,10
2011-09,10
2011-10,6
2011-11,5
2011-12,6
2012-01,7
2012-02,5
2012-03,5
2012-04,6
2012-05,6
2012-06,5
2012-07,5
2012-08,6
2012-09,6
2012-10,5
2012-11,5
2012-12,5
2013-01,4
2013-02,4
2013-03,4
2013-04,6
2013-05,5
2013-06,5
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,4
2013-12,4
2014-01,4
2014-02,4
2014-03,5
2014-04,5
2014-05,3
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,5
2014-12,5
2015-01,5
2015-02,5
2015-03,5
2015-04,5
2015-05,3
2015-06,4
2015-07,0
2015-08,0
2015-09,0


Top regions for Thomas A. Steitz
Region,Thomas A. Steitz
Germany,100
United States,25





Top searches for Thomas A. Steitz
steitz,100
thomas steitz,35
tom steitz,15
thomas a. steitz,10



Rising searches for Thomas A. Steitz
thomas a. steitz,Breakout
thomas steitz,Breakout
tom steitz,Breakout



