Web Search interest: Roy J. Glauber
Worldwide; 2004 - present

Interest over time
Month,Roy J. Glauber
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,100
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,11
2006-11,12
2006-12,12
2007-01,9
2007-02,9
2007-03,9
2007-04,9
2007-05,9
2007-06,9
2007-07,8
2007-08,7
2007-09,7
2007-10,7
2007-11,8
2007-12,8
2008-01,9
2008-02,6
2008-03,6
2008-04,6
2008-05,6
2008-06,5
2008-07,5
2008-08,7
2008-09,8
2008-10,5
2008-11,6
2008-12,5
2009-01,5
2009-02,5
2009-03,4
2009-04,4
2009-05,4
2009-06,5
2009-07,6
2009-08,5
2009-09,4
2009-10,4
2009-11,4
2009-12,5
2010-01,4
2010-02,4
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,4
2010-08,4
2010-09,3
2010-10,4
2010-11,3
2010-12,3
2011-01,3
2011-02,3
2011-03,4
2011-04,3
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,3
2011-11,3
2011-12,2
2012-01,2
2012-02,2
2012-03,3
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,7
2013-04,2
2013-05,2
2013-06,3
2013-07,2
2013-08,2
2013-09,3
2013-10,2
2013-11,2
2013-12,1
2014-01,2
2014-02,2
2014-03,1
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,1
2014-12,2
2015-01,1
2015-02,2
2015-03,2
2015-04,3
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2


Top regions for Roy J. Glauber
Region,Roy J. Glauber
Brazil,100





Top searches for Roy J. Glauber
glauber,100
roy glauber,25
glauber dynamics,10
roy j. glauber,5



Rising searches for Roy J. Glauber
glauber dynamics,Breakout
roy glauber,Breakout
roy j. glauber,Breakout



