Web Search interest: Robert H. Grubbs
Worldwide; 2004 - present

Interest over time
Month,Robert H. Grubbs
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,100
2005-11,30
2005-12,21
2006-01,21
2006-02,21
2006-03,18
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,20
2006-10,23
2006-11,20
2006-12,20
2007-01,16
2007-02,16
2007-03,15
2007-04,15
2007-05,14
2007-06,13
2007-07,12
2007-08,13
2007-09,16
2007-10,12
2007-11,12
2007-12,11
2008-01,13
2008-02,13
2008-03,11
2008-04,11
2008-05,13
2008-06,10
2008-07,10
2008-08,9
2008-09,9
2008-10,9
2008-11,8
2008-12,11
2009-01,7
2009-02,7
2009-03,8
2009-04,8
2009-05,8
2009-06,8
2009-07,7
2009-08,7
2009-09,8
2009-10,7
2009-11,7
2009-12,57
2010-01,9
2010-02,8
2010-03,10
2010-04,7
2010-05,10
2010-06,7
2010-07,8
2010-08,6
2010-09,8
2010-10,7
2010-11,7
2010-12,6
2011-01,8
2011-02,6
2011-03,6
2011-04,8
2011-05,8
2011-06,7
2011-07,6
2011-08,5
2011-09,6
2011-10,7
2011-11,5
2011-12,5
2012-01,5
2012-02,6
2012-03,6
2012-04,7
2012-05,6
2012-06,5
2012-07,4
2012-08,5
2012-09,5
2012-10,5
2012-11,5
2012-12,4
2013-01,5
2013-02,4
2013-03,5
2013-04,5
2013-05,6
2013-06,4
2013-07,4
2013-08,3
2013-09,4
2013-10,4
2013-11,5
2013-12,4
2014-01,3
2014-02,4
2014-03,4
2014-04,5
2014-05,4
2014-06,4
2014-07,3
2014-08,3
2014-09,4
2014-10,4
2014-11,3
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,4
2015-06,4
2015-07,4
2015-08,3
2015-09,5


Top regions for Robert H. Grubbs
Region,Robert H. Grubbs
United States,100





Top searches for Robert H. Grubbs
grubbs,100
robert grubbs,30
grubbs metathesis,5
robert h. grubbs,5
grubbs caltech,5
bob grubbs,5
grubbs group,5



Rising searches for Robert H. Grubbs
bob grubbs,Breakout
grubbs caltech,Breakout
grubbs group,Breakout
grubbs metathesis,Breakout
robert grubbs,Breakout
robert h. grubbs,Breakout



