Web Search interest: Stephen Smale
Worldwide; 2004 - present

Interest over time
Month,Stephen Smale
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,100
2006-08,75
2006-09,65
2006-10,65
2006-11,65
2006-12,65
2007-01,61
2007-02,64
2007-03,68
2007-04,72
2007-05,81
2007-06,62
2007-07,59
2007-08,65
2007-09,64
2007-10,61
2007-11,58
2007-12,53
2008-01,44
2008-02,50
2008-03,48
2008-04,68
2008-05,55
2008-06,52
2008-07,40
2008-08,39
2008-09,40
2008-10,57
2008-11,43
2008-12,41
2009-01,49
2009-02,43
2009-03,42
2009-04,37
2009-05,34
2009-06,40
2009-07,33
2009-08,32
2009-09,37
2009-10,36
2009-11,26
2009-12,27
2010-01,29
2010-02,28
2010-03,30
2010-04,39
2010-05,35
2010-06,33
2010-07,26
2010-08,32
2010-09,30
2010-10,29
2010-11,31
2010-12,34
2011-01,29
2011-02,33
2011-03,28
2011-04,33
2011-05,35
2011-06,30
2011-07,30
2011-08,30
2011-09,35
2011-10,32
2011-11,33
2011-12,19
2012-01,28
2012-02,35
2012-03,29
2012-04,24
2012-05,25
2012-06,22
2012-07,23
2012-08,26
2012-09,20
2012-10,22
2012-11,26
2012-12,24
2013-01,21
2013-02,21
2013-03,21
2013-04,28
2013-05,26
2013-06,21
2013-07,21
2013-08,20
2013-09,26
2013-10,25
2013-11,20
2013-12,22
2014-01,19
2014-02,21
2014-03,20
2014-04,19
2014-05,19
2014-06,20
2014-07,20
2014-08,23
2014-09,21
2014-10,22
2014-11,23
2014-12,19
2015-01,19
2015-02,20
2015-03,20
2015-04,20
2015-05,16
2015-06,22
2015-07,18
2015-08,21
2015-09,20


Top regions for Stephen Smale
Region,Stephen Smale
United States,100





Top searches for Stephen Smale
smale,100
stephen smale,20
steve smale,10
hirsch smale,5
steven smale,5



Rising searches for Stephen Smale
hirsch smale,Breakout
stephen smale,Breakout
steve smale,Breakout
steven smale,Breakout



