Web Search interest: Christopher A. Sims
Worldwide; 2004 - present

Interest over time
Month,Christopher A. Sims
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,35
2005-12,29
2006-01,29
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,34
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,12
2007-12,13
2008-01,15
2008-02,10
2008-03,10
2008-04,10
2008-05,10
2008-06,10
2008-07,10
2008-08,10
2008-09,16
2008-10,11
2008-11,9
2008-12,9
2009-01,9
2009-02,11
2009-03,10
2009-04,8
2009-05,9
2009-06,9
2009-07,9
2009-08,9
2009-09,8
2009-10,9
2009-11,10
2009-12,7
2010-01,7
2010-02,7
2010-03,8
2010-04,9
2010-05,6
2010-06,7
2010-07,9
2010-08,6
2010-09,7
2010-10,7
2010-11,7
2010-12,7
2011-01,6
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,6
2011-09,6
2011-10,100
2011-11,13
2011-12,15
2012-01,8
2012-02,8
2012-03,6
2012-04,7
2012-05,6
2012-06,6
2012-07,3
2012-08,6
2012-09,6
2012-10,10
2012-11,4
2012-12,4
2013-01,4
2013-02,4
2013-03,5
2013-04,4
2013-05,6
2013-06,6
2013-07,4
2013-08,5
2013-09,6
2013-10,6
2013-11,4
2013-12,4
2014-01,4
2014-02,5
2014-03,4
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,4
2014-09,5
2014-10,6
2014-11,7
2014-12,4
2015-01,4
2015-02,3
2015-03,10
2015-04,5
2015-05,3
2015-06,4
2015-07,3
2015-08,3
2015-09,5


Top regions for Christopher A. Sims
Region,Christopher A. Sims
United States,100





Top searches for Christopher A. Sims
chris sims,100
sims christopher,90
thomas sargent,20
chris simms,15
christopher a. sims,15



Rising searches for Christopher A. Sims
chris simms,Breakout
christopher a. sims,Breakout
sims christopher,Breakout
thomas j. sargent,Breakout
thomas sargent,Breakout



