Web Search interest: Brian Schmidt
Worldwide; 2004 - present

Interest over time
Month,Brian Schmidt
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,10
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,9
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,9
2010-08,7
2010-09,7
2010-10,7
2010-11,8
2010-12,8
2011-01,6
2011-02,7
2011-03,6
2011-04,6
2011-05,6
2011-06,8
2011-07,7
2011-08,7
2011-09,5
2011-10,100
2011-11,13
2011-12,19
2012-01,11
2012-02,12
2012-03,10
2012-04,14
2012-05,11
2012-06,21
2012-07,12
2012-08,14
2012-09,10
2012-10,9
2012-11,8
2012-12,10
2013-01,11
2013-02,13
2013-03,11
2013-04,10
2013-05,10
2013-06,6
2013-07,10
2013-08,12
2013-09,6
2013-10,9
2013-11,7
2013-12,6
2014-01,10
2014-02,9
2014-03,9
2014-04,8
2014-05,8
2014-06,8
2014-07,6
2014-08,7
2014-09,12
2014-10,16
2014-11,10
2014-12,7
2015-01,6
2015-02,10
2015-03,13
2015-04,7
2015-05,8
2015-06,18
2015-07,9
2015-08,10
2015-09,8


Top regions for Brian Schmidt
Region,Brian Schmidt
Australia,100
United States,14


Top cities for Brian Schmidt
City,Brian Schmidt
Sydney (Australia),100



Top searches for Brian Schmidt
brian schmidt,100
brian schmidt nobel,10
adam riess,5
saul perlmutter,5
brian p. schmidt,5



Rising searches for Brian Schmidt
adam riess,Breakout
brian p. schmidt,Breakout
brian schmidt nobel,Breakout
saul perlmutter,Breakout



