Web Search interest: Roger D. Kornberg
Worldwide; 2004 - present

Interest over time
Month,Roger D. Kornberg
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,100
2006-11,13
2006-12,12
2007-01,9
2007-02,7
2007-03,5
2007-04,5
2007-05,5
2007-06,5
2007-07,4
2007-08,4
2007-09,4
2007-10,8
2007-11,9
2007-12,6
2008-01,4
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,3
2008-07,3
2008-08,3
2008-09,4
2008-10,4
2008-11,3
2008-12,5
2009-01,6
2009-02,7
2009-03,3
2009-04,3
2009-05,3
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,3
2009-12,3
2010-01,4
2010-02,5
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,4
2011-01,3
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,1
2011-07,1
2011-08,1
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,4
2012-02,2
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,2
2015-02,2
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1


Top regions for Roger D. Kornberg
Region,Roger D. Kornberg
Germany,100
United States,23


Top cities for Roger D. Kornberg
City,Roger D. Kornberg
Bayreuth (Germany),100



Top searches for Roger D. Kornberg
kornberg,100
roger kornberg,40
kornberg nobel,15
roger kornberg nobel,10
roger d. kornberg,10
kornberg nobel prize,10
kornberg stanford,5



Rising searches for Roger D. Kornberg
kornberg nobel,Breakout
kornberg nobel prize,Breakout
kornberg stanford,Breakout
roger d. kornberg,Breakout
roger kornberg,Breakout
roger kornberg nobel,Breakout



